№ Принципа;Название;Описание внедрения;Пример применения в IT
1;Дробления;"а) разделить объект на независимые части;
б) выполнить объект разборным;
в) увеличить степень дробления (измельчения) объекта";Дробление программы на подпрограммы.
2;Вынесения;;
3;Местного качества;;
4;Ассиметрия;;
5;Объединения;;
6;Универсальности;;
7;Матрешки;;
8;Антивеса;;
9;Предварительного антидействия;;
10;Предварительного действия;;
11;Заранее подложенной подушки;;
12;Эквипотенциальности;;
13;Наоборот;;
14;Сфероидальности;;
15;Динамичности;;
16;Частичного или избыточного действия;;
17;Перехода в другое измерение;;
18;Использование механических колебаний;;
19;Периодического действия;;
20;Непрерывности полезного действия;;
21;Проскока;;
22;Обратить вред в пользу;;
23;Обратной связи;;
24;Посредника;;
25;Самообслуживания;;
26;Копирования;;
27;Дешевая недолговечность взамен дорогой долговечности;;
28;Замена механической схемы;;
29;Использование пневмо- и гидроконструкций;;
30;Использование гибких оболочек и тонких пленок;;
31;Применение пористых материалов;;
32;Изменения окраски;;
33;Однородности;;
34;Отброса и регенерации частей;;
35;Изменение физико-химических параметров объекта;;
36;Применение фазовых переходов;;
37;Применение теплового расширения;;
38;Применение сильных окислителей;;
39;Применение инертной среды;;
40;Применение композитных материалов;;
41;Использование пауз;;
42;Принцип многоступенчатого действия;;
43;Применение пены;;
44;Применение вставных частей;"а) Трудности, связанные с изготовлением объекта, преодолевают, изготавливая часть объекта отдельно и присоединяя эту часть к основной части изготавливаемого объекта.
б) Вставку используют только на время изготовления объекта, а затем удаляют (этот подприем близок к приему № 34).";"Облачные вычисления.
Размещение баз данных и другой информации на удаленных серверах."
45;Би?принцип;"Используя одновременно два однотипных объекта с разными количественными характеристиками, можно получить качественно новый эффект (напр., биметаллические пластинки; биения, возникающие при сложении двух колебаний, и т. д.).";"Двойной экран.
Многоядерные процес-соры.."
46;Применение взрывчатых веществ и порохов;Заменить отдельные части объекта взрывчатыми веществами или порохами, воспламеняемыми после введения объекта в труднодоступное место.;
47;Сборка на (в) воде;(Точнее было бы говорить не только о сборке, но и о других действиях на воде).;
48;?Мешок с вакуумом?;;
49;Диссоциация-ассоциация;Этот прием можно рассматривать как ?разделение-объединение? на молекулярном уровне. ?Диссоциация-ассоциация? сильнее ?разделения-объединения?. Она позволяет веществу, когда надо, раздваиваться, а когда надо снова превращаться в одно вещество.;
50;Принцип самоорганизации;;"Социальные сети.
Web 2.0. Web3.0."
;;;
