№ качества;Название
9;Скорость
15;Время действия подвижного объекта
16;Время действия неподвижного объекта
19;Затраты энергии подвижным объектом
20;Затраты энергии неподвижным объектом
24;Потери информации
25;Потери времени
27;Надёжность
28;Точность измерения
29;Точность изготовления
30;Вредные факторы, действующие на объект
31;Вредные факторы самого объекта
32;Удобство изготовления
33;Удобство эксплуатации
34;Удобство ремонта
35;Адаптация, универсальность
36;Сложность устройства
37;Сложность контроля и измерения
39;Производительность
39;Производительность
