1;Правило прецедента. Если что-то было или есть, то это может быть. Имеется в виду, что в условиях реального мира это возможная ситуация, и она может быть повторена еще сколь угодно много раз.
2;Общее условие при построении вывода. Возможно все, пока достоверно не известно что-то конкретное. Имеется в виду, что мы должны допускать любую вероятность, пока это не противоречит имеющемуся условию. Например, нам сказано, что все яблоки в корзине зеленые. Мы должны допускать, что в мире может не быть больше яблок, а могут быть и все при этом зеленые, а могут все остальные яблоки быть красные, а могут все быть разных цветов и оттенков, а может быть все предметы вне корзины это еноты.
3;Индукция. Выведение некоего общего принципа из множества предметов или явлений с одинаковым свойством. Например, мы исследовали сотню действующих автомобилей и заметили, что в каждом из них есть двигатель. Если мы сделаем предположение, что видимо у любого автомобиля есть двигатель, это будет индуктивное обобщение. Следует помнить, что индукция несовершенна, ибо однажды можно увидеть тысячу зеленых авокадо и сделать вывод, что они все зеленые, а потом увидеть фиолетовый авокадо. Индукция помогает выявить множество важных полезных принципов, но иногда подводит, как в случае с авокадо, и не может являться строгим логическим доказательством.
4;Дедукция. Заключение о наличии некоего свойства у рассматриваемого объекта, когда мы достоверно знаем, что все объекты в некотором множестве, к которому принадлежит данный объект, обладают этим свойством. Например, мы знаем, что все деревья осуществляют фотосинтез. Если оказывается, что некий рассматриваемый нами объект является деревом, это означает, что он обязательно осуществляет фотосинтез. В отличие от индукции, дедукция совершенна: если мы знаем, что все яйца имеют скорлупу, то любое отдельно взятое яйцо обязательно будет иметь скорлупу, а никак не предположительно
5;Критерий состоятельности высказывания. Высказывание как выражение некой мысли является состоятельным или несостоятельным (верным или неверным) само по себе, при его соответствии или несоответствии законам логики. Состоятельность высказывания не может быть обоснована такими вещами, как авторитет его автора, количество людей, которые придерживаются такой же точки зрения, время суток, язык, на котором высказывание было произнесено или написано, страна происхождения данной мысли и все подобное прочее. Все эти факторы не делают мысль более или менее правильной
6;"Изобретатель всегда помнит о том, что термины не существуют в природе как материальные объекты, это лишь словесные ярлыки к абстрактным понятиям, которые существуют только в нашем сознании. Любой человек может по договоренности с другими употребить любое слово в любом новом значении, и все будут понимать друг друга в разговоре. Например, можно электропоезд назвать словом ""орхидея"", сообщить об этом собеседникам и вести продуктивную беседу, используя этот новый термин. Таким образом, не существует никакого истинного значения терминов, не бывает ""настоящих"" пониманий терминов. Если изобретатель пытается угадать, что ""на самом деле"" означает какой-то термин, найти истинное значение какого-то термина, то он не способен решать изобретательские задачи."
7;На вопросы нужно отвечать по форме и по существу. Пример: - Как тебя зовут? - Меня зовут Алексей Дмитриевич. Еще пример: - Что именно ты хочешь сейчас узнать? - Я хочу узнать ваше определение победителя в войне. Контрпример (как НЕЛЬЗЯ отвечать): - Как тебя зовут? - Ну а при чем здесь я, вот Билл же говорил, что.... Еще контрпример: - Что именно ты хочешь сейчас узнать? - Ну просто понимаешь, вчера вы тут сидели обсуждали.... Нарушение этого принципа также несовместимо со званием образованного человека.
8;Изобретателю не рекомендуется прерывать решение задачи длительным молчанием без предупреждения. Если изобретатель хочет подумать, он должен предупредить об этом собеседника.
9;Изобретателю не рекомендуется игнорировать во время тренировки заданные им вопросы. Услышав вопрос, изобретатель или собеседник нерекомендуется не произносить ничего, кроме ответа на этот вопрос.
10;Услышав вопрос во время мозгового штурма/синектики, гражданин обязан его запомнить слово в слово. Не допускается искажения вопросов. Это также касается цитат. Если гражданин хочет процитировать чьи-то слова, он несет полную ответственность за сохранение их формы без искажений.
11;Рассуждение НЕЛЬЗЯ продолжать, если собеседник говорит что не понял или не согласен с каким-то из пунктов. Подразумевается, что рассуждение строится ради получения некой практической пользы. Рассуждение может принести пользу, только если исходит из верных данных и построено при помощи верного логического вывода. Нужно всегда внимательно следить, чтобы у собеседников было полное согласие по поводу верности данных и построенных выводов. Если согласия нет, то продолжать бесполезно, ибо собеседник не примет излагаемую мысль как правильную. Рассуждение нужно остановить и разбираться со спорным пунктом, пока не возникнет полное согласие. Только после этого можно продолжать
12;"Определения терминам даются через обозначение более общей категории, к которой принадлежит предмет беседы. Например, цвет - это свойство, водяной пистолет - это изделие из пластика либо игрушка, телефон - это электронный прибор. Некорректно описывать цвет как ""ну это когда короче..."", Кремль как ""ну типа Белый дом, только в Москве"", Землю как ""ну типа как тот же Марс, но другое"". Человек, который не разбирается, что такое Земля, чаще всего не разбирается также в том, что такое Марс, зато ему может быть знакома категория ""небесные тела"". Если человек знает что такое небесные тела, то можно сообщить ему, что Земля - это небесное тело, тогда человек скажет ""о, теперь понятнее"", и дальше можно уточнять, какое именно небесное тело называется Земля, каковы его свойства. Если же человеку незнакома эта общая категория, нужно назвать еще более общую. Пример: человек не знает, что такое брюки, вы говорите ""это предмет одежды"". Допустим, человек не знает, что такое одежда, тогда вы говорите ""это изделие из ткани"". Если человек видел изделия из ткани и имеет представление, что это такое, то теперь он в общем понял вас, и можно уточнять, какие свойства у этого изделия из ткани. Таким образом, эллипс - это геометрическая фигура, стол - это предмет мебели, суждение - это высказывание. Не принимаются определения типа ""эллипс это как круг, только растянуто"", ""стол это то, где я сижу"", ""суждение это где объект и предикат"""
13;"Чтобы на вопрос можно было дать верный ответ, он должен быть обращен к реальному миру, то есть в нем должны запрашиваться какие-то сведения об объектах, процессах, свойствах или событиях реального мира, где есть только материя, которая находится в пространстве и меняет свои формы. Если в вопросе содержатся абстрактные термины (""правильно, хорошо, интерпретировать, политическое преимущество, бурно отреагировали""), то практическая польза от него нулевая и всерьез рассматриваться он не должен. Пример правильного вопроса: - Есть ли среди предметов, лежащих в ящиках твоего письменного стола, авторучка? Пример бессмысленного вопроса: - Хорошо ли жить в Америке?"
14;В мозговом штурме/синектике изобретатели сначала иметь что-то в виду, то есть иметь некую образную модель в голове, и лишь затем переводить это в материальную форму (устная речь, письмо), то есть описывать эту модель понятными терминами.
